nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455454009E+04, 1.033922528E+00, 1.742740410E+02, 0.000000000E+00, 2.849112996E+02, 2.201486559E+05, 2.049629351E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455020083E+04, 1.033883912E+00, 1.742970274E+02, 0.000000000E+00, 2.849073191E+02, 2.201497984E+05, 2.049600716E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393175E+04, 1.033829160E+00, 1.743318857E+02, 0.000000000E+00, 2.849012819E+02, 2.201515313E+05, 2.049557285E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514769E+04, 1.033752338E+00, 1.743805551E+02, 0.000000000E+00, 2.848928506E+02, 2.201539514E+05, 2.049496631E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387897E+04, 1.033653811E+00, 1.744430220E+02, 0.000000000E+00, 2.848820258E+02, 2.201570585E+05, 2.049418758E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010796E+04, 1.033533413E+00, 1.745193584E+02, 0.000000000E+00, 2.848687922E+02, 2.201608571E+05, 2.049323557E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382738E+04, 1.033391075E+00, 1.746095860E+02, 0.000000000E+00, 2.848531431E+02, 2.201653490E+05, 2.049210978E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503280E+04, 1.033226753E+00, 1.747137122E+02, 0.000000000E+00, 2.848350732E+02, 2.201705357E+05, 2.049080985E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371944E+04, 1.033040400E+00, 1.748317437E+02, 0.000000000E+00, 2.848145773E+02, 2.201764188E+05, 2.048933539E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988217E+04, 1.032831966E+00, 1.749636869E+02, 0.000000000E+00, 2.847916492E+02, 2.201830000E+05, 2.048768596E+05
        11, 3.276595745E-02, 0.000000000E+00, 8.440351546E+04, 1.032601396E+00, 1.751095486E+02, 0.000000000E+00, 2.847662823E+02, 2.201902813E+05, 2.048586109E+05
        12, 3.574468085E-02, 0.000000000E+00, 8.437461337E+04, 1.032348633E+00, 1.752693359E+02, 0.000000000E+00, 2.847384693E+02, 2.201982646E+05, 2.048386024E+05
        13, 3.872340426E-02, 0.000000000E+00, 8.434316949E+04, 1.032073614E+00, 1.754430560E+02, 0.000000000E+00, 2.847082023E+02, 2.202069524E+05, 2.048168286E+05
        14, 4.170212766E-02, 0.000000000E+00, 8.430917706E+04, 1.031776271E+00, 1.756307160E+02, 0.000000000E+00, 2.846754729E+02, 2.202163470E+05, 2.047932833E+05
        15, 4.468085106E-02, 0.000000000E+00, 8.427262892E+04, 1.031456536E+00, 1.758323227E+02, 0.000000000E+00, 2.846402720E+02, 2.202264510E+05, 2.047679600E+05
        16, 4.765957447E-02, 0.000000000E+00, 8.423351759E+04, 1.031114333E+00, 1.760478825E+02, 0.000000000E+00, 2.846025902E+02, 2.202372671E+05, 2.047408521E+05
        17, 5.063829787E-02, 0.000000000E+00, 8.419183527E+04, 1.030749587E+00, 1.762774010E+02, 0.000000000E+00, 2.845624175E+02, 2.202487981E+05, 2.047119522E+05
        18, 5.361702128E-02, 0.000000000E+00, 8.414757393E+04, 1.030362216E+00, 1.765208829E+02, 0.000000000E+00, 2.845197436E+02, 2.202610472E+05, 2.046812529E+05
        19, 5.659574468E-02, 0.000000000E+00, 8.410072531E+04, 1.029952138E+00, 1.767783319E+02, 0.000000000E+00, 2.844745576E+02, 2.202740172E+05, 2.046487464E+05
        20, 5.957446809E-02, 0.000000000E+00, 8.405128100E+04, 1.029519269E+00, 1.770497501E+02, 0.000000000E+00, 2.844268485E+02, 2.202877116E+05, 2.046144248E+05
        21, 6.255319149E-02, 0.000000000E+00, 8.399923241E+04, 1.029063523E+00, 1.773351384E+02, 0.000000000E+00, 2.843766047E+02, 2.203021334E+05, 2.045782799E+05
        22, 6.553191489E-02, 0.000000000E+00, 8.394457090E+04, 1.028584810E+00, 1.776344958E+02, 0.000000000E+00, 2.843238147E+02, 2.203172861E+05, 2.045403031E+05
        23, 6.851063830E-02, 0.000000000E+00, 8.388728772E+04, 1.028083043E+00, 1.779478196E+02, 0.000000000E+00, 2.842684663E+02, 2.203331732E+05, 2.045004859E+05
        24, 7.148936170E-02, 0.000000000E+00, 8.382737413E+04, 1.027558130E+00, 1.782751051E+02, 0.000000000E+00, 2.842105473E+02, 2.203497981E+05, 2.044588195E+05
        25, 7.446808511E-02, 0.000000000E+00, 8.376482135E+04, 1.027009980E+00, 1.786163454E+02, 0.000000000E+00, 2.841500455E+02, 2.203671645E+05, 2.044152950E+05
        26, 7.744680851E-02, 0.000000000E+00, 8.369962065E+04, 1.026438503E+00, 1.789715315E+02, 0.000000000E+00, 2.840869481E+02, 2.203852758E+05, 2.043699032E+05
        27, 8.042553191E-02, 0.000000000E+00, 8.363176330E+04, 1.025843606E+00, 1.793406521E+02, 0.000000000E+00, 2.840212425E+02, 2.204041358E+05, 2.043226351E+05
        28, 8.340425532E-02, 0.000000000E+00, 8.356124065E+04, 1.025225196E+00, 1.797236938E+02, 0.000000000E+00, 2.839529156E+02, 2.204237482E+05, 2.042734813E+05
        29, 8.638297872E-02, 0.000000000E+00, 8.348804410E+04, 1.024583182E+00, 1.801206408E+02, 0.000000000E+00, 2.838819544E+02, 2.204441167E+05, 2.042224324E+05
        30, 8.936170213E-02, 0.000000000E+00, 8.341216509E+04, 1.023917470E+00, 1.805314750E+02, 0.000000000E+00, 2.838083458E+02, 2.204652452E+05, 2.041694789E+05
        31, 9.234042553E-02, 0.000000000E+00, 8.333359513E+04, 1.023227968E+00, 1.809561764E+02, 0.000000000E+00, 2.837320762E+02, 2.204871374E+05, 2.041146112E+05
        32, 9.531914894E-02, 0.000000000E+00, 8.325232580E+04, 1.022514581E+00, 1.813947228E+02, 0.000000000E+00, 2.836531322E+02, 2.205097973E+05, 2.040578195E+05
        33, 9.829787234E-02, 0.000000000E+00, 8.316834866E+04, 1.021777217E+00, 1.818470902E+02, 0.000000000E+00, 2.835714999E+02, 2.205332289E+05, 2.039990939E+05
