nodenumber,    x-coordinate,    y-coordinate,        pressure,         density,      x-velocity,      y-velocity,     temperature,    total-energy, internal-energy
         1, 2.978723404E-03, 0.000000000E+00, 8.455453929E+04, 1.033922521E+00, 1.742740455E+02, 0.000000000E+00, 2.849112988E+02, 2.201486561E+05, 2.049629346E+05
         2, 5.957446809E-03, 0.000000000E+00, 8.455020003E+04, 1.033883905E+00, 1.742970319E+02, 0.000000000E+00, 2.849073183E+02, 2.201497987E+05, 2.049600711E+05
         3, 8.936170213E-03, 0.000000000E+00, 8.454393097E+04, 1.033829153E+00, 1.743318901E+02, 0.000000000E+00, 2.849012811E+02, 2.201515316E+05, 2.049557279E+05
         4, 1.191489362E-02, 0.000000000E+00, 8.453514691E+04, 1.033752331E+00, 1.743805596E+02, 0.000000000E+00, 2.848928499E+02, 2.201539516E+05, 2.049496626E+05
         5, 1.489361702E-02, 0.000000000E+00, 8.452387819E+04, 1.033653804E+00, 1.744430264E+02, 0.000000000E+00, 2.848820250E+02, 2.201570588E+05, 2.049418753E+05
         6, 1.787234043E-02, 0.000000000E+00, 8.451010719E+04, 1.033533407E+00, 1.745193628E+02, 0.000000000E+00, 2.848687915E+02, 2.201608573E+05, 2.049323552E+05
         7, 2.085106383E-02, 0.000000000E+00, 8.449382661E+04, 1.033391069E+00, 1.746095904E+02, 0.000000000E+00, 2.848531423E+02, 2.201653492E+05, 2.049210973E+05
         8, 2.382978723E-02, 0.000000000E+00, 8.447503205E+04, 1.033226747E+00, 1.747137166E+02, 0.000000000E+00, 2.848350725E+02, 2.201705359E+05, 2.049080980E+05
         9, 2.680851064E-02, 0.000000000E+00, 8.445371869E+04, 1.033040394E+00, 1.748317481E+02, 0.000000000E+00, 2.848145766E+02, 2.201764190E+05, 2.048933534E+05
        10, 2.978723404E-02, 0.000000000E+00, 8.442988142E+04, 1.032831959E+00, 1.749636912E+02, 0.000000000E+00, 2.847916485E+02, 2.201830002E+05, 2.048768591E+05
